feedback_id,annotator_1,annotator_2,annotator_3
f1_q1,acceptance,acceptance,acceptance
f1_q2,acceptance,satisfaction,satisfaction
f1_q3,disappointment,disappointment,disappointment
f1_q4,acceptance,acceptance,acceptance
f2_q1,acceptance,acceptance,acceptance
f2_q2,acceptance,satisfaction,acceptance
f2_q3,acceptance,acceptance,acceptance
f2_q4,acceptance,disappointment,disappointment
f3_q1,acceptance,acceptance,acceptance
f3_q2,acceptance,satisfaction,satisfaction
f3_q3,acceptance,disappointment,acceptance
f3_q4,acceptance,satisfaction,acceptance
f4_q1,acceptance,acceptance,acceptance
f4_q2,acceptance,satisfaction,acceptance
f4_q4,acceptance,disappointment,acceptance
f5_q1,acceptance,acceptance,acceptance
f5_q2,acceptance,satisfaction,acceptance
f5_q3,acceptance,acceptance,acceptance
f5_q4,acceptance,disappointment,acceptance
f6_q1,acceptance,acceptance,acceptance
f6_q2,acceptance,acceptance,acceptance
f6_q3,acceptance,disappointment,acceptance
f6_q4,acceptance,acceptance,acceptance
f7_q1,acceptance,acceptance,acceptance
f7_q2,acceptance,acceptance,acceptance
f7_q4,acceptance,disappointment,acceptance
f8_q1,acceptance,acceptance,acceptance
f8_q2,acceptance,acceptance,acceptance
f8_q3,acceptance,acceptance,acceptance
f8_q4,acceptance,acceptance,acceptance
f9_q1,acceptance,acceptance,acceptance
f9_q2,acceptance,acceptance,acceptance
f9_q3,acceptance,acceptance,acceptance
f9_q4,acceptance,acceptance,acceptance
f10_q1,disappointment,acceptance,acceptance
f10_q2,acceptance,acceptance,acceptance
f10_q3,acceptance,acceptance,acceptance
f10_q4,acceptance,acceptance,acceptance
f11_q1,acceptance,acceptance,acceptance
f11_q2,acceptance,acceptance,satisfaction
f11_q3,acceptance,acceptance,acceptance
f11_q4,acceptance,acceptance,acceptance
f12_q1,acceptance,acceptance,acceptance
f12_q2,acceptance,acceptance,acceptance
f12_q3,acceptance,acceptance,acceptance
f12_q4,acceptance,acceptance,acceptance
f13_q1,acceptance,acceptance,acceptance
f13_q2,acceptance,acceptance,acceptance
f13_q3,acceptance,acceptance,acceptance
f13_q4,acceptance,acceptance,acceptance
f14_q1,acceptance,acceptance,acceptance
f14_q2,acceptance,satisfaction,acceptance
f14_q3,acceptance,acceptance,acceptance
f14_q4,acceptance,acceptance,acceptance
f15_q1,acceptance,acceptance,acceptance
f15_q2,acceptance,acceptance,acceptance
f15_q3,acceptance,acceptance,acceptance
f15_q4,acceptance,acceptance,acceptance
f16_q1,acceptance,acceptance,acceptance
f16_q2,acceptance,acceptance,acceptance
f16_q3,acceptance,acceptance,acceptance
f16_q4,disappointment,acceptance,acceptance
f17_q1,acceptance,acceptance,acceptance
f17_q2,acceptance,acceptance,acceptance
f17_q3,acceptance,acceptance,acceptance
f17_q4,acceptance,acceptance,acceptance
f18_q1,acceptance,acceptance,acceptance
f18_q2,acceptance,acceptance,acceptance
f18_q3,acceptance,acceptance,acceptance
f18_q4,acceptance,acceptance,acceptance
f19_q1,acceptance,acceptance,acceptance
f19_q2,acceptance,satisfaction,acceptance
f19_q3,acceptance,acceptance,acceptance
f19_q4,boredom,acceptance,acceptance
f20_q1,acceptance,acceptance,acceptance
f20_q2,acceptance,acceptance,acceptance
f20_q3,acceptance,acceptance,acceptance
f20_q4,acceptance,acceptance,acceptance
f21_q1,acceptance,acceptance,acceptance
f21_q2,acceptance,joy,acceptance
f21_q3,acceptance,acceptance,acceptance
f21_q4,acceptance,acceptance,acceptance
f22_q1,acceptance,acceptance,acceptance
f22_q2,acceptance,acceptance,acceptance
f22_q3,acceptance,acceptance,acceptance
f22_q4,acceptance,acceptance,acceptance
f23_q1,acceptance,acceptance,acceptance
f23_q2,acceptance,acceptance,acceptance
f23_q3,acceptance,acceptance,acceptance
f23_q4,acceptance,acceptance,acceptance
f24_q1,acceptance,acceptance,acceptance
f24_q2,acceptance,acceptance,acceptance
f24_q3,acceptance,acceptance,acceptance
f24_q4,acceptance,acceptance,acceptance
f25_q1,acceptance,acceptance,acceptance
f25_q2,acceptance,acceptance,acceptance
f25_q3,acceptance,acceptance,acceptance
f25_q4,acceptance,acceptance,acceptance
f26_q1,acceptance,acceptance,acceptance
f26_q2,acceptance,acceptance,acceptance
f26_q3,acceptance,acceptance,acceptance
f26_q4,acceptance,acceptance,acceptance
f27_q1,acceptance,acceptance,acceptance
f27_q2,acceptance,disappointment,acceptance
f27_q3,acceptance,acceptance,acceptance
f27_q4,acceptance,acceptance,acceptance
f28_q1,acceptance,acceptance,acceptance
f28_q2,acceptance,acceptance,acceptance
f28_q3,acceptance,acceptance,acceptance
f28_q4,acceptance,acceptance,acceptance
f29_q1,acceptance,acceptance,acceptance
f29_q2,acceptance,acceptance,acceptance
f29_q3,acceptance,acceptance,acceptance
f29_q4,acceptance,acceptance,acceptance
f30_q1,acceptance,acceptance,acceptance
f30_q2,acceptance,acceptance,acceptance
f30_q3,acceptance,acceptance,acceptance
f30_q4,acceptance,acceptance,acceptance
f31_q1,acceptance,acceptance,acceptance
f31_q2,acceptance,acceptance,acceptance
f31_q3,acceptance,acceptance,acceptance
f31_q4,boredom,acceptance,acceptance
f32_q1,acceptance,acceptance,acceptance
f32_q2,acceptance,acceptance,acceptance
f32_q3,acceptance,acceptance,acceptance
f32_q4,boredom,acceptance,acceptance
f33_q1,acceptance,acceptance,acceptance
f33_q2,acceptance,acceptance,acceptance
f33_q3,acceptance,acceptance,acceptance
f33_q4,boredom,acceptance,acceptance
f34_q1,acceptance,acceptance,acceptance
f34_q2,acceptance,acceptance,acceptance
f34_q3,acceptance,acceptance,acceptance
f34_q4,acceptance,satisfaction,acceptance
f35_q1,acceptance,acceptance,acceptance
f35_q2,acceptance,acceptance,acceptance
f35_q3,acceptance,acceptance,acceptance
f35_q4,acceptance,acceptance,acceptance
f36_q1,acceptance,acceptance,acceptance
f36_q2,acceptance,acceptance,acceptance
f36_q3,acceptance,acceptance,acceptance
f36_q4,disappointment,acceptance,acceptance
f37_q1,acceptance,acceptance,acceptance
f37_q2,acceptance,acceptance,acceptance
f37_q3,acceptance,acceptance,acceptance
f37_q4,acceptance,acceptance,acceptance
f38_q1,acceptance,acceptance,acceptance
