feedback_id,feedback_text,question,question_num,annotator_1,annotator_2,annotator_3
f1_q1,Implement a peer-review system for assignments and projects.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f1_q2,the knowledge that he knew about the course was on point with the teaching,What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,satisfaction
f1_q3,"nothing i can think of,  maybe just sad about the time where he said he'll try to bring router to school to further elaborate the current topic we are...",What did you like least about your instructor's teaching?,Q3,disappointment,disappointment,disappointment
f1_q4,The professor's ability to teach the subject and his mastery of the topics are good enough that the student can understand the technicalities he is sp...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f2_q1,More practicality,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f2_q2,"On how he is very chill, yet strict in teaching, submitting and checking of outputs.",What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,acceptance
f2_q3,"they would sometimes go overtime during their lectures, but understandable due to the subject being explained thoroughly",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f2_q4,I hope in the upcoming sem he will be fair to us students or who will be his students because many students are failing.,"Any further, constructive comment:",Q4,acceptance,disappointment,disappointment
f3_q1,More examples and demonstrations especially in making system/s,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f3_q2,"-the instructor knows his subject very well and teaches us the knowledge he has including the basic.
-the instructor gives us time to finish our proje...",What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,satisfaction
f3_q3,"dropping all works, activities, and modules in one day T____T, then all due next week or next meet or today or tomorrow. it's suffocating me HAHAHAHAH...",What did you like least about your instructor's teaching?,Q3,acceptance,disappointment,acceptance
f3_q4,less strict = less pressure,"Any further, constructive comment:",Q4,acceptance,satisfaction,acceptance
f4_q1,"chill time probably. what i mean with that is like, not just read all and explain all topics, but like take his time to actually consider if the stude...",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f4_q2,Explaining the lesson using there own knowledge,What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,acceptance
f4_q4,Wish he had more time to meet us.,"Any further, constructive comment:",Q4,acceptance,disappointment,acceptance
f5_q1,letting us know the exact time of our class meeting,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f5_q2,Attentive,What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,acceptance
f5_q3,"Strict at its finest, but still well job done at teaching.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f5_q4,"sir i know you'll read this but u said honest, so i'll be completely honest as i was for the past profs i evaluated also. everything i rated was solel...","Any further, constructive comment:",Q4,acceptance,disappointment,acceptance
f6_q1,to have a clear and more understandable PPT,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f6_q2,teaching about PHP programming,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f6_q3,"Busy so much🙁, pero understandable naman po [PROFESSOR]🙏.",What did you like least about your instructor's teaching?,Q3,acceptance,disappointment,acceptance
f6_q4,Ok lang.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f7_q1,Be updated to the current trend of tech world.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f7_q2,More on visual,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f7_q4,"More time for teaching because im very interested in the things i still need to learn,or we stkll need to learn","Any further, constructive comment:",Q4,acceptance,disappointment,acceptance
f8_q1,More hands on programming,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f8_q2,his real life examples connected to the lesson/discussion,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f8_q3,sometimes he tend to go faster for us to cope up,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f8_q4,I hope that [PROFESSOR] could be more approachable in his interactions with students. While I fully understand and respect the importance of maintaini...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f9_q1,More engaging activities.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f9_q2,the consistent recitations during lessons for us to really study and understand what is being taught to be able to answer,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f9_q3,The exams/quizzes can be tough.,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f9_q4,sir has a mastery skill of teaching but lack of time management,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f10_q1,a more engaging teacher,What changes would you recommend to improve this course?,Q1,disappointment,acceptance,acceptance
f10_q2,he gives good examples and fair/subtle hints on solving problems during excersises,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f10_q3,Just enough meeting of class.,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f10_q4,I believe that improving teaching methods will not only enhance the students’ learning experience but also reflect positively on the reputation of our...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f11_q1,Learning materials and the way to teach on the subjects along with activities related to every lesson,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f11_q2,Visual presentations are pleasing to the eyes,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,satisfaction
f11_q3,Some of the activities were challenging.,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f11_q4,I hope our instructor considers dedicating more time to hands on teaching during lab hours. This adjustment would not only help students learn more ef...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f12_q1,"more hands on example, like real scenario ",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f12_q2,Gives ample time to work on something,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f12_q3,Just enough meetings.,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f12_q4,"Teach the lesson in an easy to digest manner. This way, we can learn the lessons on the class alone, and then solidify our understanding at home or th...","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f13_q1,Give opportunity for the lower scores in exams,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f13_q2,open to communicate,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f13_q3,"Sometimes, the way she explains the lesson it easy to understand, but the activities she gives are more difficult than the example. However, I'm fine ...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f13_q4,"The way she teach is okay...just don't make the all the topics or lessons be in 1 day.
Example: We have 8 Topics or Lessons....In every time we take t...","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f14_q1,More time since summer has a shorter length for classes compared to normal semester,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f14_q2,He guides students who has concerns about the lesson and give an advice or idea about their concerns,What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,acceptance
f14_q3,"She's a good teacher, it's just that I occasionally miss things because her voice is often soft.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f14_q4,I hope she will change her teaching skills make it more bearable and give justice to the subject matter. I know she can do best!! :),"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f15_q1,"more on after lesson activities (like hands on coding, that [PROFESSOR] was already doing in database subject), even if its not graded, just so we kno...",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f15_q2,Interactive,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f15_q3,Strict si ma'am pero understandable naman.,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f15_q4,only if you have lot of time for the subject matter I would appreciate it more! but we do understand that you have a lot things to do specially you're...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f16_q1,Learning materials and the way a prof teaches the course,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f16_q2,understanding towards students,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f16_q3,Late pero ok na,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f16_q4,The teacher only read PowerPoint please explain,"Any further, constructive comment:",Q4,disappointment,acceptance,acceptance
f17_q1,more group activities/quicker pace on lessons,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f17_q2,The stock knowledge and information about the topics.,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f17_q3,"I like Sir [PROFESSOR] and his teaching methods. However, there are times when I feel a bit overwhelmed by the volume of materials and PowerPoint pres...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f17_q4,Improve quality of teaching as overall,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f18_q1,Acknowledge different coding standard,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f18_q2,He knows what he is saying.,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f18_q3,Lacking communication(understandable because of busy schedules),What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f18_q4,"Overall it was not the worse one I have went through, there is still room for improvement.","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f19_q1,More reliable source or instructions.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f19_q2,Strict and straight to the point,What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,acceptance
