feedback_id,feedback,question,label,label_id,annotator_1,annotator_2,annotator_3
f1_q1,implement a peer-review system for assignments and projects.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f1_q2,the knowledge that he knew about the course was on point with the teaching,what did you like best about your instructor is teaching?,satisfaction,1,acceptance,satisfaction,satisfaction
f1_q3,"nothing i can think of, maybe just sad about the time where he said he will try to bring router to school to further elaborate the current topic we are...",what did you like least about your instructor is teaching?,disappointment,4,disappointment,disappointment,disappointment
f1_q4,the professor is ability to teach the subject and his mastery of the topics are good enough that the student can understand the technicalities he is sp...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f2_q1,more practicality,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f2_q2,"on how he is very chill, yet strict in teaching, submitting and checking of outputs.",what did you like best about your instructor is teaching?,acceptance,2,acceptance,satisfaction,acceptance
f2_q3,"they would sometimes go overtime during their lectures, but understandable due to the subject being explained thoroughly",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f2_q4,i hope in the upcoming sem he will be fair to us students or who will be his students because many students are failing.,"any further, constructive comment:",disappointment,4,acceptance,disappointment,disappointment
f3_q1,more examples and demonstrations especially in making system/s,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f3_q2,-the instructor knows his subject very well and teaches us the knowledge he has including the basic. -the instructor gives us time to finish our proje...,what did you like best about your instructor is teaching?,satisfaction,1,acceptance,satisfaction,satisfaction
f3_q3,"dropping all works, activities, and modules in one day t____t, then all due next week or next meet or today or tomorrow. it is suffocating me hahahahah...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,disappointment,acceptance
f3_q4,less strict = less pressure,"any further, constructive comment:",acceptance,2,acceptance,satisfaction,acceptance
f4_q1,"chill time probably. what i mean with that is like, not just read all and explain all topics, but like take his time to actually consider if the stude...",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f4_q2,explaining the lesson using there own knowledge,what did you like best about your instructor is teaching?,acceptance,2,acceptance,satisfaction,acceptance
f4_q4,wish he had more time to meet us.,"any further, constructive comment:",acceptance,2,acceptance,disappointment,acceptance
f5_q1,letting us know the exact time of our class meeting,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f5_q2,attentive,what did you like best about your instructor is teaching?,acceptance,2,acceptance,satisfaction,acceptance
f5_q3,"strict at its finest, but still well job done at teaching.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f5_q4,"sir i know you will read this but u said honest, so i will be completely honest as i was for the past profs i evaluated also. everything i rated was solel...","any further, constructive comment:",acceptance,2,acceptance,disappointment,acceptance
f6_q1,to have a clear and more understandable ppt,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f6_q2,teaching about php programming,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f6_q3,"busy so much🙁, pero understandable naman po [professor]🙏.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,disappointment,acceptance
f6_q4,ok lang.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f7_q1,be updated to the current trend of tech world.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f7_q2,more on visual,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f7_q4,"more time for teaching because im very interested in the things i still need to learn,or we stkll need to learn","any further, constructive comment:",acceptance,2,acceptance,disappointment,acceptance
f8_q1,more hands on programming,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f8_q2,his real life examples connected to the lesson/discussion,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f8_q3,sometimes he tend to go faster for us to cope up,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f8_q4,i hope that [professor] could be more approachable in his interactions with students. while i fully understand and respect the importance of maintaini...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f9_q1,more engaging activities.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f9_q2,the consistent recitations during lessons for us to really study and understand what is being taught to be able to answer,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f9_q3,the exams/quizzes can be tough.,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f9_q4,sir has a mastery skill of teaching but lack of time management,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f10_q1,a more engaging teacher,what changes would you recommend to improve this course?,acceptance,2,disappointment,acceptance,acceptance
f10_q2,he gives good examples and fair/subtle hints on solving problems during excersises,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f10_q3,just enough meeting of class.,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f10_q4,i believe that improving teaching methods will not only enhance the students’ learning experience but also reflect positively on the reputation of our...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f11_q1,learning materials and the way to teach on the subjects along with activities related to every lesson,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f11_q2,visual presentations are pleasing to the eyes,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,satisfaction
f11_q3,some of the activities were challenging.,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f11_q4,i hope our instructor considers dedicating more time to hands on teaching during lab hours. this adjustment would not only help students learn more ef...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f12_q1,"more hands on example, like real scenario",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f12_q2,gives ample time to work on something,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f12_q3,just enough meetings.,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f12_q4,"teach the lesson in an easy to digest manner. this way, we can learn the lessons on the class alone, and then solidify our understanding at home or th...","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f13_q1,give opportunity for the lower scores in exams,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f13_q2,open to communicate,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
