feedback_id,annotator_1,annotator_2,annotator_3
q1_f1,acceptance,acceptance,acceptance
q1_f10,disappointment,acceptance,acceptance
q1_f100,acceptance,acceptance,acceptance
q1_f101,acceptance,acceptance,acceptance
q1_f102,acceptance,acceptance,acceptance
q1_f103,acceptance,acceptance,acceptance
q1_f104,acceptance,acceptance,acceptance
q1_f105,acceptance,acceptance,acceptance
q1_f106,acceptance,acceptance,acceptance
q1_f107,acceptance,acceptance,acceptance
q1_f108,acceptance,acceptance,acceptance
q1_f109,acceptance,acceptance,acceptance
q1_f11,acceptance,acceptance,acceptance
q1_f110,acceptance,acceptance,acceptance
q1_f111,acceptance,acceptance,acceptance
q1_f112,acceptance,acceptance,acceptance
q1_f113,acceptance,acceptance,acceptance
q1_f114,acceptance,acceptance,acceptance
q1_f115,acceptance,acceptance,acceptance
q1_f116,acceptance,acceptance,acceptance
q1_f117,acceptance,acceptance,acceptance
q1_f118,acceptance,acceptance,acceptance
q1_f119,acceptance,acceptance,acceptance
q1_f12,acceptance,acceptance,acceptance
q1_f120,acceptance,acceptance,acceptance
q1_f121,acceptance,acceptance,acceptance
q1_f122,acceptance,acceptance,acceptance
q1_f123,acceptance,acceptance,acceptance
q1_f124,acceptance,acceptance,acceptance
q1_f125,acceptance,acceptance,acceptance
q1_f126,acceptance,acceptance,acceptance
q1_f127,acceptance,acceptance,acceptance
q1_f128,acceptance,acceptance,acceptance
q1_f129,acceptance,acceptance,acceptance
q1_f13,acceptance,acceptance,acceptance
q1_f130,acceptance,acceptance,acceptance
q1_f131,acceptance,acceptance,acceptance
q1_f132,acceptance,acceptance,acceptance
q1_f133,acceptance,acceptance,acceptance
q1_f134,acceptance,acceptance,acceptance
q1_f135,acceptance,acceptance,acceptance
q1_f136,acceptance,acceptance,acceptance
q1_f137,acceptance,acceptance,acceptance
q1_f138,acceptance,acceptance,acceptance
q1_f139,acceptance,acceptance,acceptance
q1_f14,acceptance,acceptance,acceptance
q1_f140,acceptance,acceptance,acceptance
q1_f141,acceptance,acceptance,acceptance
q1_f142,acceptance,acceptance,acceptance
q1_f143,acceptance,acceptance,acceptance
q1_f144,disappointment,disappointment,disappointment
q1_f145,disappointment,acceptance,disappointment
q1_f146,disappointment,acceptance,disappointment
q1_f147,disappointment,disappointment,disappointment
q1_f148,disappointment,disappointment,disappointment
q1_f149,disappointment,disappointment,disappointment
q1_f15,acceptance,acceptance,acceptance
q1_f150,disappointment,disappointment,disappointment
q1_f151,disappointment,disappointment,acceptance
q1_f152,disappointment,disappointment,acceptance
q1_f153,disappointment,disappointment,disappointment
q1_f154,disappointment,disappointment,disappointment
q1_f155,disappointment,disappointment,disappointment
q1_f156,disappointment,disappointment,disappointment
q1_f157,disappointment,disappointment,disappointment
q1_f158,disappointment,disappointment,disappointment
q1_f159,disappointment,disappointment,disappointment
q1_f16,acceptance,acceptance,acceptance
q1_f160,disappointment,disappointment,disappointment
q1_f161,disappointment,disappointment,disappointment
q1_f162,disappointment,disappointment,disappointment
q1_f163,disappointment,disappointment,disappointment
q1_f164,disappointment,disappointment,disappointment
